yearsofexperience,yearsatcompany,region,salary_level
4.0,4.0,10,4
17.0,15.0,10,6
9.0,9.0,10,3
14.0,14.0,10,5
3.0,3.0,10,3
0.0,0.0,10,4
14.0,14.0,10,9
3.0,3.0,10,3
8.0,3.0,10,4
8.0,0.0,10,5
3.0,3.0,10,4
19.0,10.0,10,7
10.0,3.0,10,7
5.0,1.0,10,5
5.0,1.0,10,5
6.0,6.0,10,3
15.0,4.0,10,5
10.0,8.0,10,5
2.0,2.0,10,3
3.0,3.0,10,4
3.0,3.0,10,4
1.0,1.0,10,3
3.0,3.0,10,4
7.0,0.5,10,5
3.0,1.0,10,4
16.0,10.0,10,5
2.0,1.0,10,5
5.0,3.0,10,4
4.0,2.0,10,5
5.0,2.0,10,4
3.0,2.0,10,4
6.0,6.0,10,6
16.0,2.0,10,6
3.0,3.0,10,5
0.0,0.0,10,4
0.0,0.0,10,4
3.0,3.0,10,3
8.0,1.0,10,4
4.0,4.0,10,4
15.0,15.0,10,6
15.0,15.0,10,6
8.0,6.0,10,5
3.0,3.0,10,3
4.0,4.0,10,4
16.0,2.0,10,7
25.0,0.0,10,7
25.0,1.0,10,7
2.0,2.0,10,3
2.0,2.0,10,3
19.0,1.0,10,6
7.0,0.25,10,7
8.0,2.0,10,5
1.0,0.0,10,2
15.0,5.0,10,6
0.0,0.0,10,3
20.0,20.0,10,4
12.0,0.0,10,5
3.0,2.0,10,4
2.0,1.0,10,2
17.0,2.0,10,7
8.0,8.0,10,5
10.0,3.0,10,6
3.0,3.0,10,4
5.0,3.0,10,6
10.0,1.0,10,6
1.0,1.0,10,3
8.0,2.0,10,6
1.0,1.0,10,3
2.0,2.0,10,4
15.0,1.0,10,4
9.0,3.0,10,5
13.0,1.0,10,6
3.0,3.0,10,3
10.0,1.0,10,8
5.0,1.0,10,5
14.0,5.0,10,6
6.0,6.0,10,4
3.0,0.0,10,4
10.0,8.0,10,5
10.0,3.0,10,6
20.0,12.0,10,6
10.0,1.0,10,4
3.0,3.0,10,4
20.0,2.0,10,6
20.0,8.0,10,7
5.0,5.0,10,6
15.0,5.0,10,6
20.0,8.0,10,7
13.0,3.0,10,6
10.0,0.0,10,5
2.0,2.0,10,4
5.0,5.0,10,4
1.0,1.0,10,3
5.0,0.0,10,4
8.0,3.0,10,4
10.0,5.0,10,6
5.0,0.0,10,3
3.0,0.0,10,3
4.0,1.5,10,4
15.0,6.0,10,5
10.0,1.0,10,6
8.0,5.0,10,7
15.0,5.0,10,4
0.0,0.0,10,4
2.0,2.0,10,4
5.0,5.0,10,4
2.0,2.0,10,4
5.0,3.5,10,5
3.0,2.0,10,2
3.0,2.0,10,3
15.0,1.0,10,6
10.0,4.0,10,5
12.0,12.0,10,4
18.0,18.0,10,5
20.0,8.0,10,7
9.0,2.0,10,6
2.0,1.0,10,3
6.0,6.0,10,4
15.0,3.0,10,5
5.0,1.0,10,5
18.0,10.0,10,4
6.0,1.0,10,5
12.0,1.0,10,6
6.0,1.0,10,6
6.0,2.5,10,4
21.0,4.0,10,7
2.0,2.0,10,4
4.0,2.0,10,4
1.0,1.0,10,3
8.0,1.0,10,5
1.0,1.0,10,4
2.0,2.0,10,3
0.0,0.0,10,3
2.0,2.0,10,4
14.0,11.0,10,6
3.0,3.0,10,3
0.0,0.0,10,7
3.0,2.0,10,4
5.0,1.0,10,4
4.0,4.0,10,5
2.0,2.0,10,3
7.0,2.0,10,6
8.0,0.0,10,6
10.0,3.0,10,9
10.0,6.0,10,6
19.0,11.0,10,5
19.0,11.0,10,5
15.0,15.0,10,5
0.0,0.0,10,5
10.0,3.0,10,7
8.0,5.0,10,5
20.0,0.0,10,6
14.0,14.0,10,5
13.0,2.0,10,7
4.0,2.0,10,5
17.0,5.0,10,7
2.0,0.0,10,5
5.0,3.0,10,6
1.0,1.0,10,4
2.0,2.0,10,4
12.0,12.0,10,4
4.0,0.0,10,5
18.0,13.0,10,6
2.0,1.0,10,4
1.0,1.0,10,4
4.0,1.0,10,4
25.0,5.0,10,7
15.0,3.0,10,4
2.0,2.0,10,5
2.0,2.0,10,4
3.0,2.0,10,4
12.0,4.0,10,7
0.0,0.0,10,3
8.0,4.0,10,5
9.0,2.0,10,4
4.0,4.0,10,3
5.0,3.0,10,2
2.0,1.0,10,3
7.0,7.0,10,6
4.0,1.0,10,6
9.0,0.0,10,4
10.0,5.0,10,6
8.0,4.0,10,5
10.0,0.0,10,6
12.0,6.0,10,5
2.0,2.0,10,3
19.0,12.0,10,5
6.0,2.0,10,5
10.0,3.0,10,4
28.0,20.0,10,7
7.0,3.0,10,3
4.0,2.0,10,4
0.0,0.0,10,4
2.0,2.0,10,3
5.0,0.0,10,4
19.0,2.5,10,6
4.0,0.0,10,5
3.0,1.0,10,4
4.0,4.0,10,6
15.0,8.0,10,7
6.0,6.0,10,8
15.0,1.0,10,6
0.0,0.0,10,2
8.0,0.0,10,6
4.0,4.0,10,4
0.0,0.0,10,3
5.0,5.0,10,4
0.0,0.0,10,3
0.0,0.0,10,4
19.0,19.0,10,6
8.0,4.0,10,3
12.0,5.0,10,6
10.0,0.0,10,6
16.0,14.0,10,7
5.0,2.5,10,4
11.0,11.0,10,3
0.0,0.0,10,4
0.0,0.0,10,4
3.0,0.0,10,4
3.0,0.0,10,6
4.0,4.0,10,5
10.0,3.0,10,5
4.0,4.0,10,5
7.0,7.0,10,5
3.0,1.0,10,4
7.0,1.0,10,6
10.0,2.0,10,6
6.0,2.0,10,4
2.0,2.0,10,4
6.0,2.0,10,4
4.0,4.0,10,4
12.0,0.0,10,6
0.0,0.0,10,4
0.0,0.0,10,3
15.0,4.0,10,6
8.0,4.0,10,6
6.0,1.0,10,6
4.0,3.0,10,2
0.0,0.0,10,2
3.0,2.0,10,4
2.0,2.0,10,5
20.0,3.0,10,6
1.0,1.0,10,4
3.0,3.0,10,5
5.0,5.0,10,5
0.0,0.0,10,4
5.0,0.0,10,6
10.0,7.0,10,5
2.0,1.0,10,3
0.0,0.0,10,4
8.0,2.0,10,5
0.0,0.0,10,4
20.0,3.0,10,6
8.0,8.0,10,4
0.0,0.0,10,2
4.0,0.0,10,6
15.0,15.0,10,8
0.0,0.0,10,3
1.0,0.0,10,4
0.0,0.0,10,4
5.0,2.0,10,4
0.0,0.0,10,2
1.0,1.0,10,3
5.0,5.0,10,5
28.0,20.0,10,7
0.0,0.0,10,4
6.0,0.0,10,5
29.0,0.0,10,5
12.0,2.0,10,4
7.0,3.0,10,6
8.0,1.0,10,7
4.0,2.0,10,6
9.0,4.0,10,4
8.0,5.0,10,7
20.0,6.0,10,5
5.0,1.0,10,4
12.0,7.0,10,6
1.0,0.0,10,4
3.0,3.0,10,6
12.0,0.0,10,6
4.0,4.0,10,4
0.0,1.0,10,3
6.0,6.0,10,5
4.0,1.0,10,4
0.0,0.0,10,4
12.0,1.0,10,6
6.0,6.0,10,4
14.0,1.0,10,7
7.0,3.0,10,5
16.0,16.0,10,7
2.0,2.0,10,5
20.0,7.0,10,6
8.0,1.0,10,5
2.0,1.0,10,3
0.0,0.0,10,3
14.0,3.0,10,6
5.0,2.0,10,5
0.0,0.0,10,4
6.0,5.0,10,3
12.0,0.0,10,6
15.0,5.0,10,6
1.0,0.5,10,3
3.0,1.0,10,4
9.0,0.0,10,6
3.0,1.0,10,4
12.0,2.0,10,5
2.0,4.0,10,4
7.0,7.0,10,5
2.0,5.0,10,3
18.0,5.0,10,5
15.0,5.0,10,6
7.0,3.0,10,4
0.0,0.0,10,4
1.0,0.0,10,4
15.0,8.0,10,6
10.0,3.0,10,4
16.0,1.0,10,6
10.0,4.0,10,6
4.0,5.0,10,5
20.0,2.0,10,6
20.0,10.0,10,7
10.0,4.0,10,3
1.0,1.0,10,4
29.0,3.0,10,6
4.0,2.0,10,4
10.0,4.0,10,8
4.0,4.0,10,5
6.0,4.0,10,4
16.0,12.0,10,5
6.0,3.0,10,4
0.0,2.0,10,4
10.0,2.0,10,4
15.0,5.0,10,4
11.0,0.0,10,7
10.0,4.0,10,5
15.0,10.0,10,6
19.0,7.0,10,6
6.0,2.0,10,3
16.0,1.0,10,5
2.0,2.0,10,3
6.0,2.0,10,5
3.0,2.0,10,4
1.0,1.0,10,4
9.0,4.0,10,4
5.0,3.0,10,4
0.0,0.0,10,4
2.0,2.0,10,4
4.0,4.0,10,5
7.0,7.0,10,5
0.0,0.0,10,4
30.0,20.0,10,6
5.0,3.0,10,4
15.0,15.0,10,8
20.0,2.0,10,7
15.0,0.0,10,6
5.0,5.0,10,4
6.0,6.0,10,4
6.0,6.0,10,5
6.0,0.0,10,5
5.0,3.0,10,5
4.0,1.0,10,4
8.0,0.0,10,5
3.0,1.0,10,5
9.0,2.0,10,6
3.0,3.0,10,3
7.0,1.0,10,4
20.0,0.0,10,6
2.0,2.0,10,2
5.0,3.0,10,5
9.0,1.0,10,5
3.0,3.0,10,5
4.0,4.0,10,4
